n,target_r2,sample_r2,learner,replication,theta_hat,se,ci_lower,ci_upper,ci_length,kappa_star,bias,coverage,nuisance_mse_m,nuisance_mse_l,rmse_m,rmse_l
500,0.75,0.7660826100547796,Oracle,0,0.9663148014681606,0.22979253986082682,0.51592142334094,1.416708179595381,0.900786756254441,3.940145761534492,-0.03368519853183938,1,0.0,0.0,0.0,0.0
500,0.75,0.7283682567822484,Oracle,1,1.1581089809613743,0.2527386652923334,0.6627411969884007,1.6534767649343478,0.9907355679459471,3.6758339991262328,0.15810898096137427,1,0.0,0.0,0.0,0.0
500,0.75,0.6731766854447226,Oracle,2,0.972493042152843,0.24409604459517822,0.4940647947462937,1.4509212895593924,0.9568564948130986,4.010105097805854,-0.027506957847156954,1,0.0,0.0,0.0,0.0
500,0.75,0.7256797868119225,Oracle,3,1.6483932375598653,0.25306598637112016,1.1523839042724697,2.144402570847261,0.9920186665747912,4.079688188567668,0.6483932375598653,0,0.0,0.0,0.0,0.0
500,0.75,0.7663997608070425,Oracle,4,0.9871201349605004,0.26340965175025843,0.47083721752999397,1.503403052391007,1.032565834861013,3.353879607836024,-0.01287986503949956,1,0.0,0.0,0.0,0.0
500,0.75,0.7648560785160929,OLS,0,1.2338368281750525,0.19610830235550394,0.8494645555582647,1.6182091007918402,0.7687445452335755,1.1941909113154419,0.23383682817505247,1,0.07229300480439477,1.4371211377531714,0.2688735851741386,1.1987998739377526
500,0.75,0.7725159020887076,OLS,1,0.9409150167443157,0.21627609766419115,0.517013865322501,1.3648161681661302,0.8478023028436291,1.3446558218275906,-0.05908498325568434,1,0.0765448121165798,1.4540964002457903,0.27666733113358327,1.2058591958623488
500,0.75,0.7563691775418667,OLS,2,1.0711159003145485,0.24158982708682922,0.5975998392243633,1.5446319614047337,0.9470321221803704,1.1848311130253486,0.07111590031454851,1,0.07887087245555786,1.6523602053011819,0.28083958491558464,1.285441638232239
500,0.75,0.7622912805389652,OLS,3,1.3167377305212,0.2284877525171,0.868901735587684,1.764573725454716,0.895671989867032,1.2604159623474527,0.3167377305212,1,0.06759909325918213,1.4873435820685357,0.2599982562618106,1.219566964979183
500,0.75,0.7647328779075739,OLS,4,1.2654569675719483,0.24649431144011824,0.7823281171493165,1.74858581799458,0.9662577008452634,1.2749963219724105,0.26545696757194825,1,0.07443410375587602,1.9552179167635055,0.2728261419950002,1.398291070115055
500,0.75,0.7340804777518665,Lasso,0,1.4559933848528246,0.2205888962888182,1.0236391481267408,1.8883476215789083,0.8647084734521675,1.353484849634147,0.4559933848528246,0,0.06951056836847291,1.6606212740359454,0.26364856982064766,1.2886509512028248
500,0.75,0.7391727987939312,Lasso,1,1.326707535802362,0.21870813219970056,0.8980395966909488,1.7553754749137749,0.8573358782228261,1.3247019453844155,0.3267075358023619,1,0.07198306622753568,1.4991340449410135,0.2682966012224823,1.2243912956816598
500,0.75,0.7904243894749864,Lasso,2,0.969454507753832,0.23536026121387693,0.5081483957746332,1.430760619733031,0.9226122239583977,1.1463625023661619,-0.030545492246167982,1,0.0673627684570101,1.5108712056681097,0.2595433845371716,1.2291750101869585
500,0.75,0.7784703104640488,Lasso,3,1.5250673223796014,0.23614668319319532,1.0622198233209386,1.9879148214382643,0.9256949981173257,1.2047496389761958,0.5250673223796014,0,0.07893112990513149,1.7257797033668978,0.28094684533756825,1.3136893481211218
500,0.75,0.69480178261497,Lasso,4,1.253804156704183,0.2174795019562963,0.8275443328698424,1.6800639805385238,0.8525196476686814,1.2417885412991336,0.2538041567041831,1,0.07276120207486428,1.431029454764927,0.2697428443441351,1.1962564335312589
500,0.75,0.7577088256124795,RF_Tuned,0,0.705535158453379,0.18508599066325618,0.34276661675339687,1.068303700153361,0.7255370833999641,1.8237932531723282,-0.294464841546621,1,0.042943756748244584,0.4667262047398131,0.2072287546366203,0.6831736270815884
500,0.75,0.7435631105136926,RF_Tuned,1,0.2722341378797049,0.1999374948163717,-0.11964335196038367,0.6641116277197935,0.7837549796801772,1.8920660591396432,-0.7277658621202951,0,0.037906324560742194,0.4582393925075488,0.194695466204897,0.6769338169330505
500,0.75,0.7213698576624572,RF_Tuned,2,0.7036334677851106,0.18134269948542026,0.3482017767936869,1.0590651587765343,0.7108633819828474,1.6986909709709597,-0.2963665322148894,1,0.04663363852499542,0.5667932051398884,0.215948231122636,0.7528566962841523
500,0.75,0.7007910788991324,RF_Tuned,3,0.8510688706436715,0.18250107956549189,0.49336675469530744,1.2087709865920355,0.7154042318967281,1.7973778662703084,-0.14893112935632846,1,0.0398683327824743,0.540608336886258,0.1996705606304402,0.7352607271480356
500,0.75,0.7256988398387111,RF_Tuned,4,0.7426382580640923,0.18293571084431434,0.38408426480923624,1.1011922513189485,0.7171079865097123,1.7933060512900276,-0.25736174193590766,1,0.04170528642653133,0.5914402674252399,0.20421872202746577,0.7690515375611962
500,0.75,0.7142519603903683,MLP,0,0.7195054906462719,0.20456292415405847,0.3185621593043173,1.1204488219882265,0.8018866626839092,1.596079535772668,-0.2804945093537281,1,0.0500588216083329,0.6425161432711135,0.22373828820372454,0.8015710469266674
500,0.75,0.7512951637505222,MLP,1,1.0582947520505464,0.17797256691790206,0.7094685208914584,1.4071209832096343,0.6976524623181759,1.4275322328582654,0.05829475205054635,1,0.05704805680608319,0.5349089066393795,0.23884735042717806,0.731374669126146
500,0.75,0.7483701286532539,MLP,2,1.0758506930029388,0.17121764309591925,0.7402641125349371,1.4114372734709404,0.6711731609360033,1.2981695101401047,0.07585069300293878,1,0.06983573488751672,0.4776636111267259,0.26426451689077884,0.6911321227715623
500,0.75,0.7319758207424979,MLP,3,1.0016289176599926,0.21452338702372364,0.5811630790934943,1.422094756226491,0.8409316771329967,1.3401540882343663,0.0016289176599926236,1,0.058429906224773,1.045975111240129,0.2417227879716205,1.0227292463013509
500,0.75,0.7950706424656867,MLP,4,0.8506267657429937,0.1871631055462813,0.48378707887228234,1.2174664526137051,0.7336793737414228,1.7287261415124628,-0.14937323425700633,1,0.054890844909656664,0.40587516488521735,0.23428795297594082,0.6370833264850191
500,0.9,0.8667712850118333,Oracle,0,1.392139911839711,0.4190722517286748,0.5707582984515085,2.2135215252279137,1.6427632267764052,10.391570984063238,0.3921399118397111,1,0.0,0.0,0.0,0.0
500,0.9,0.8540284290209236,Oracle,1,1.0239432975840483,0.38365600502269165,0.27197752773957273,1.775909067428524,1.5039315396889514,9.701220782901181,0.02394329758404834,1,0.0,0.0,0.0,0.0
500,0.9,0.8961097922638656,Oracle,2,0.9327122630638202,0.4135152890757775,0.12222229647529625,1.743202229652344,1.6209799331770478,9.654738692896832,-0.06728773693617984,1,0.0,0.0,0.0,0.0
500,0.9,0.9094171994388088,Oracle,3,1.5685895763850168,0.45483677660824573,0.6771094942328553,2.4600696585371784,1.7829601643043231,10.933012802693055,0.5685895763850168,1,0.0,0.0,0.0,0.0
